Date,Holiday Name
1982-01-04,Day after New Year's Day (observed)
1982-02-06,Waitangi Day
1982-04-09,Good Friday
1982-04-12,Easter Monday
1982-04-25,Anzac Day
1982-06-07,Queen's Birthday
1982-10-25,Labour Day
1982-12-25,Christmas Day
1982-12-26,Boxing Day
1982-12-27,Christmas Day (observed)
1982-12-28,Boxing Day (observed)
1983-01-01,New Year's Day
1983-01-02,Day after New Year's Day
1983-01-03,New Year's Day (observed)
1983-01-04,Day after New Year's Day (observed)
1983-02-06,Waitangi Day
1983-04-01,Good Friday
1983-04-04,Easter Monday
1983-04-25,Anzac Day
1983-06-06,Queen's Birthday
1983-10-24,Labour Day
1983-12-25,Christmas Day
1983-12-26,Boxing Day
1983-12-27,Christmas Day (observed)
1984-01-01,New Year's Day
1984-01-02,Day after New Year's Day
1984-01-03,New Year's Day (observed)
1984-02-06,Waitangi Day
1984-04-20,Good Friday
1984-04-23,Easter Monday
1984-04-25,Anzac Day
1984-06-04,Queen's Birthday
1984-10-22,Labour Day
1984-12-25,Christmas Day
1984-12-26,Boxing Day
1985-01-01,New Year's Day
1985-01-02,Day after New Year's Day
1985-02-06,Waitangi Day
1985-04-05,Good Friday
1985-04-08,Easter Monday
1985-04-25,Anzac Day
1985-06-03,Queen's Birthday
1985-10-28,Labour Day
1985-12-25,Christmas Day
1985-12-26,Boxing Day
1986-01-01,New Year's Day
1986-01-02,Day after New Year's Day
1986-02-06,Waitangi Day
1986-03-28,Good Friday
1986-03-31,Easter Monday
1986-04-25,Anzac Day
1986-06-02,Queen's Birthday
1986-10-27,Labour Day
1986-12-25,Christmas Day
1986-12-26,Boxing Day
1987-01-01,New Year's Day
1987-01-02,Day after New Year's Day
1987-02-06,Waitangi Day
1987-04-17,Good Friday
1987-04-20,Easter Monday
1987-04-25,Anzac Day
1987-06-01,Queen's Birthday
1987-10-26,Labour Day
1987-12-25,Christmas Day
1987-12-26,Boxing Day
1987-12-28,Boxing Day (observed)
1988-01-01,New Year's Day
1988-01-02,Day after New Year's Day
1988-01-04,Day after New Year's Day (observed)
1988-02-06,Waitangi Day
1988-04-01,Good Friday
1988-04-04,Easter Monday
1988-04-25,Anzac Day
1988-06-06,Queen's Birthday
1988-10-24,Labour Day
1988-12-25,Christmas Day
1988-12-26,Boxing Day
1988-12-27,Christmas Day (observed)
1989-01-01,New Year's Day
1989-01-02,Day after New Year's Day
1989-01-03,New Year's Day (observed)
1989-02-06,Waitangi Day
1989-03-24,Good Friday
1989-03-27,Easter Monday
1989-04-25,Anzac Day
1989-06-05,Queen's Birthday
1989-10-23,Labour Day
1989-12-25,Christmas Day
