"Date","Holiday.Name","Day"
1932-12-27,"Christmas Day (observed)","Tuesday"
1933-01-01,"New Years Day","Sunday"
1933-01-02,"Day after New Years Day","Monday"
1933-01-03,"New Years Day (observed)","Tuesday"
1933-04-14,"Good Friday","Friday"
1933-04-17,"Easter Monday","Monday"
1933-04-25,"Anzac Day","Tuesday"
1933-06-03,"Kings Birthday","Saturday"
1933-10-23,"Labour Day","Monday"
1933-12-25,"Christmas Day","Monday"
1933-12-26,"Boxing Day","Tuesday"
1934-01-01,"New Years Day","Monday"
1934-01-02,"Day after New Years Day","Tuesday"
1934-03-30,"Good Friday","Friday"
1934-04-02,"Easter Monday","Monday"
1934-04-25,"Anzac Day","Wednesday"
1934-06-03,"Kings Birthday","Sunday"
1934-10-22,"Labour Day","Monday"
1934-12-25,"Christmas Day","Tuesday"
1934-12-26,"Boxing Day","Wednesday"
1935-01-01,"New Years Day","Tuesday"
1935-01-02,"Day after New Years Day","Wednesday"
1935-04-19,"Good Friday","Friday"
1935-04-22,"Easter Monday","Monday"
1935-04-25,"Anzac Day","Thursday"
1935-06-03,"Kings Birthday","Monday"
1935-10-28,"Labour Day","Monday"
1935-12-25,"Christmas Day","Wednesday"
1935-12-26,"Boxing Day","Thursday"
1936-01-01,"New Years Day","Wednesday"
1936-01-02,"Day after New Years Day","Thursday"
1936-04-10,"Good Friday","Friday"
1936-04-13,"Easter Monday","Monday"
1936-04-25,"Anzac Day","Saturday"
1936-06-23,"Kings Birthday","Tuesday"
1936-10-26,"Labour Day","Monday"
1936-12-25,"Christmas Day","Friday"
1936-12-26,"Boxing Day","Saturday"
1936-12-28,"Boxing Day (observed)","Monday"
1937-01-01,"New Years Day","Friday"
1937-01-02,"Day after New Years Day","Saturday"
1937-01-04,"Day after New Years Day (observed)","Monday"
1937-03-26,"Good Friday","Friday"
1937-03-29,"Easter Monday","Monday"
1937-04-25,"Anzac Day","Sunday"
1937-06-09,"Kings Birthday","Wednesday"
1937-10-25,"Labour Day","Monday"
1937-12-25,"Christmas Day","Saturday"
1937-12-26,"Boxing Day","Sunday"
